name,image,class,subclass,description,ingredients,hp,effect
Hearty Clam Chowder,40px-BotW_Clam_Chowder_Icon.png?version=6ed3508c90b7b7733720f6707b0f040d (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/RyhLyv9y0ReMO3j8TBA6bg/Z91oYzO3bILC95pTA9DhdwzgH9FWFa3NkyzDHMHedGN146g0ybgdq-RibDPCOx0Bzu6V0ijMZp8xAjTRbXHlvazAWjgFq7VjaMbD07BKLvMrP1qOO47gQD4UUQCBaGE0UozZxrz4fW6-QH1pb4Q5tDjfNXeehRahdoK2jXqS2CGThtQZnn_1PNoWnEdo1GHD/rGghEXQ3ie1Yex-RPixbcVT1dgviwhLcR7XpYiHcFCA),Food,Cooked,The nutritional value of hearty blueshell snail combines with butter and milk in a rich soup.,"Fresh Milk,Tabantha Wheat,Goat Butter,Hearty Blueshell Snail",,
Hearty Salmon Muenière,40px-BotW_Salmon_Mueni%C3%A8re_Icon.png?version=21ea0e95c95222f171ae83d8f784ce2c (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/LHKZgKurFpocQO0CzuFeUQ/tAaRGWOVcGmq0R_5zqiJI88Jm65m9aRrupKI-z-Z5LXItdvaAKKTGq_i_KZjLZ2wBuSD0UXvzLUlgPfFMo1SdhDg6q8_qE07F1808sORXnJmCRp5hT5XLdeMo97Whm5iKzsTQJXlvxKxHVnIBQVymdOT3OxT4kvNS2-x7jPdB9A3CSeFAdQPeLx6F18k9-IN/ukTvPkrOiPrjsPXP1gxpdstOux_zg-9G966KVs57CAU),Food,Cooked,The crispy skin of this fried hearty salmon puts its texture in a class all its own.,"Tabantha Wheat,Hearty Salmon,Goat Butter",,
Herb Sauté,40px-BotW_Herb_Saut%C3%A9_Icon.png?version=adc25e9b065b470fdcdbf710aadc1098 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/Qcd787c9tx9M8zls5k-V3w/-z2sJhiQTmQWxyQCIu7Wym-pjrBJw4jjKUhjM9pVtMDHTjE8Uw8pk7xI2K0NFizTBw06bD2GVAOnvGKbX1K1xC9KEaHrHL2vSBoExRk3aPvOqeYx9PQ5eU2Y5nCjQdTEeNZe1NolLMjEs5myRZKbQm8QyrmOen8eQtdkvglAxEzTD4z4FV5N6lZWToYXXPM1/zpTQ-DvRpq6sLlc2u4jLKY-tt3ry__laxZEOyUBKDlU),Food,Cooked,A fragrant mixture of herbs and spices. It's easily recognized by its unique aroma.,"Any Flower or Herb,Goron Spice",,
Honey Crepe,40px-BotW_Honey_Crepe_Icon.png?version=2465b837a4a84ca4d7f2c98733077e3e (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/jouZD8lyyiurzTFCq2JZaw/5Aq_cTkmc8uH4GjqIEU65MXcjk1ljXHtMQMnMsfLJfAHOTsLfb6SwuNHCm9t9F60PzLgF1SnT_DdxmEE-o2mIG7azfVzqK-OOeeNidHsi8wLLxIYrog5FtbxtEeDr1JVF6YR8MMHTOFSQy20K9IjLs_fF4nd8Z2SLk343fvCrfLLKroFFsnTQ7aoBWDGUIZF/eFBEVCwipeKVu-bjgDEYOGVGFuSHV7qAuOT25_qxwPA),Food,Cooked,Honey has been drizzled over thin crepes to bring out their natural sweetness and flavor.,"Fresh Milk,Bird Egg,Tabantha Wheat,Cane Sugar,Courser Bee Honey",,
Honeyed Fruits,40px-BotW_Honeyed_Fruits_Icon.png?version=d5b930dd50a4a0838f0254e296d48cc1 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/G61YHHf8tBAq2KdkoceeLg/v_b-QmHk8ZSt7LFIKmcbozXqZqRmAG9wFQPRmAX1C4OtI6-DUtBH-kt11ffDT28bbB0YnjXVuuBkJW8gubvC-Gxx7v7cUshUZ5jJsIoAjtz393AvM0sMtR-dAYmg-bhUMg-MB-7Ibyc6uu88d_lTQrNim-1IzBcctdk26VxFBDVRHTP0I4cJLVDyxIbAjU-K/Wvo4xN6hgyAZ5J9iS37dB2jnpnAjX9gR3lIdcRTOUek),Food,Cooked,A dish that combines the thick sweetness of honey with the acidity of sour fruits.,"Courser Bee Honey,Fleet-Lotus Seeds,Hearty Durian,Hydromelon,Mighty Bananas,Voltfruit,Palm Fruit,Spicy Pepper,Wildberry",,
Hot Buttered Apple,40px-BotW_Hot_Buttered_Apple_Icon.png?version=f0210039247c7225150f3282f1b69018 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/EABPhKfVIzqFM4tNON0nlw/H5itLtMDuR2Z1Kpg95EA8aL8yhQEUSSvbJRHfAwocd5K1wwAzTBHhGK_IH0EmKut9zyrSZsXq2mI1lPYo6-d1RIBdNR8SRS1ZdYFWHMuTBMSbpkcUKIi3eY3YhE5j_J5-ws1PqSfQB61KIe3sg-6psst3IEj1DzPZpmci-MDIJhsG0Rf3vBI8JAthf5Ma7Rj/pqy6SQ04dKZwTXo-Uttw2b_SUjrRXnEgsecr5P_62ww),Food,Cooked,The apple's sweetness has been enhanced by smothering it with butter and baking it.,"Apple,Goat Butter",,
Meat & Mushroom Skewer,40px-BotW_Meat_%26_Mushroom_Skewer_Icon.png?version=a5f6ab1b52211254de80e2d34d56e47d (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/9YzybO2VMTGiLyPpPozJpA/cLk_4ssGjv4hhnQa8sMY2dG9g57J41D4pVkOJcQ9oYGxSbR2GXPmoT0RLN043Iz61LuT7CVUPzbv5Bl4p5Z98RHDuzzlfIC0AXTAuFP1MMNraRx3xZ208eNbc35ra9Ax26OOcaGje0FswWXUWFws9a_AW8Ood1UMtKMduBdEDfJUsfaGCUoymjZKgwjc3HWy/7Q1Nj16aBQEaT54qUIYBi-U2hc6VV_dfSlPRHyTyV2c),Food,Cooked,A filling dish made by grilling various mountain ingredients with either Steak or Bird Meat.,"Rushroom,Sunshroom,Zapshroom,Ironshroom,Chillshroom,Razorshroom,Endura Shroom,Hylian Shroom,Silent Shroom,Stamella Shroom,Hearty Truffle,Big Hearty Truffle,Raw Bird Thigh,Raw Bird Drumstick,Raw Gourmet Meat,Raw Meat,Raw Prime Meat,Raw Whole Bird",,
Meat and Rice Bowl,40px-BotW_Meat_and_Rice_Bowl_Icon.png?version=8d1f13eaeed38ece505350bfbb5c8b16 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/CunbvoLgsZSvahEVhRt2Ng/OTI1kXW4Z2bvYP_Kp-f1gwaacxEQJzMOi-C_fS84WgyT7EHKe6wBax338r5bJuKuyEJiNLNY68QUxZUav2pq76kn1EV4RdcMHCGqomeGOekZBFgDF2oKY8-0zmdurfIPBxUEBTSfevJNF-3YsIASIBQ6H3N3GeKC2-_aZzYjH5wtYu59FrMJBuelvGCx-aom/0oL4dQMkahJ8RahTDPdzHTsnnIofVx_FysX0u3mzn7A),Food,Cooked,This dish of rice and lightly seared meat is a mainstay all throughout Hyrule.,"Hylian Rice,Rock Salt,Raw Bird Thigh,Raw Bird Drumstick,Raw Gourmet Meat,Raw Meat,Raw Prime Meat,Raw Whole Bird",,
Meat and Seafood Fry,40px-BotW_Meat_and_Seafood_Fry_Icon.png?version=eb5444ca94f3db9200c5b8560e3a46e1 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/DSS0x08FZyqyWWUBmuJceg/j_otJVESkb2U5QY2xXp404b0PIfcvKgYuM2jQnlpz6i9PCAR1uj7BCHYU3mmK0yGgbdOA5Gs38nwz7TwIFJOsgnsLylvhWSJReFxsEan6ktkIDIYhJpfC6i9wrLs8GDr_EvKYbxGlJm-ZOaUpkv35w5fuo7xMgoJqQYFQqkh0ZB_C-jp9ASe2PQ83dZUImtt/TCZ_iUHQjiIdtFNhinpNhrWJbDbAg3Z_YVBeLTQ2e-0),Food,Cooked,A filling dish made by cooking fresh seafood and meat together.,"Any Meat,Any Seafood",,
Meat Curry,40px-BotW_Meat_Curry_Icon.png?version=b7dc4b028d0bb1c48d2aa4c8efcc93da (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/6Lq506eLoaz6vMRt1s023Q/mbx8SzHp-Pwm1Iz1VOBgIPppcaIjFeWlxKx87jjzLPkSkQ7IEL9Y4SiaYsSffMr6A08cdLfD0R8Z36J3YwhYHaW1dF7lS_K-R3x1Gjmj6TyyK9iNjsU6bkIGKetHOQWkUKJ4O9cuoUZvh1IZXuTPg_qmD1oFXmAFTTIY67f8QdY/Q2c4h98BLnVE9yDzoWXc4vHZnL4kQ6jSPxTUMzUA2e0),Food,Cooked,The heat from the spice allows you to enjoy the large portion of the meat's savoriness.,"Raw Meat,Hylian Rice,Goron Spice",,
Meat Pie,40px-BotW_Meat_Pie_Icon.png?version=ffcea936724f1ffc70e9b10e3dc9ab0a (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/4sbybJciSU9Ht117sQ1SFQ/Nlzx1ccHURb-tsmOr3c-DxxHgVFnesJkIwHHbxJxIQRZmMtAA1fbguIuSX7QrVl9D5UawvjCYu-gJc8mxMUYFkTaP5wf7NdiPioWW-OdFXlC3OUjs9iTHVQfIt0mLQppiMXgtONnUnXkt2vBeypL0TQwItmV8QjVM1rMjHGfU_s/I5oeFWsqt6lX9XNIVCME72TOQhcZi8BA1KjZxWp7JO8),Food,Cooked,You'll need an extra napkin to deal with this juicy pie of perfectly baked minced meat.,"Tabantha Wheat,Goat Butter,Rock Salt,Raw Bird Thigh,Raw Bird Drumstick,Raw Gourmet Meat,Raw Meat,Raw Prime Meat,Raw Whole Bird",,
Meat Skewer,40px-BotW_Meat_Skewer_Icon.png?version=696c3f7a399414be35585388ae350013 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/SCUiEOk25QbuhlzC05Bfqw/h4vJlNCGRH7lUKhaQdzAAZVl8T9gwzfHWjeY4O-Jm7mlQk9Zi4mdLTs6SNq7yFUrleRiq70fv4wQ95aXClVJu0BgUt6HdGB2YLGtmx9plR-LvT24S9RzatG7e9SX5T_8udEazMj9Xj9vv8t5Ltipj2nu2PlpXRwROjesHvUpRwpAnz4f9DcHbkWJdS-LJHak/Q6QYIE_nftsM5Ty1Urpy5aNj_GdNKT85kcwCjgWqemw),Food,Cooked,"A juicy, filling snack made by grilling small chunks of meat on a skewer.","Raw Bird Thigh,Raw Bird Drumstick,Raw Gourmet Meat,Raw Meat,Raw Prime Meat,Raw Whole Bird",,
Copious Meat Skewers,40px-BotW_Copious_Meat_Skewers_Icon.png?version=76b429dd4f8b92d8fb658a7174bdc8f6 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/bes05mWZcbNF1RXymqrBAA/EkfNnAiTXHcfOSbya1gZ-u3P0LDOBZj3NU3VDWFnX2TO0X9PeUXI2wHvk9hJLvvP9mGNVQzObBmVRuu0ebU17nOfBP-97A9N7NcKiOoXMbTzwleib0hrq8e1URJyarTTp49CDX57j3k0xiVWpNDA52RvRohAmjMMIlwDh_5QbAQl3XEqIdQEeNg7mnb4PR5K/kaK_Seu3knbC7epH6S59O7iQapjYoDXl4CsomfgLaC4),Food,Cooked,Just shove a bunch of meat on to a skewer and you're good to go.,"Raw Bird Thigh,Raw Bird Drumstick,Raw Gourmet Meat,Raw Meat,Raw Prime Meat,Raw Whole Bird",,
Meat Stew,40px-BotW_Meat_Stew_Icon.png?version=ff2868050ba923cfc9f0575d417b4c60 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/WjeYuIUJRdfzhffJlCD6vg/SPI9gWmK2DRKQOk0L84V3Kh5zAjdox4fnJjXqG1hLiGL7cSHePRR6dnVXbgIUDu0-27sZnpbT1DCZCXv5QSsFg6TBWvIoNHnkxa1jqDaqPaJ8HMQgg3ZWgVxeUGN_ZuGEOSw3cYGj2XiJKtBki3eEo2Whe7M2rkw43X-7nNI2Pc/oqj7xH3wLy5Y3uXJFnCPwVbp_3Hvi5Bl-_MNWkrxgQU),Food,Cooked,The hearty meat in this mainstay dish leaves bellies satisfied all throughout Hyrule.,"Raw Meat,Raw Bird Drumstick",,
Meaty Rice Balls,40px-BotW_Meaty_Rice_Balls_Icon.png?version=f0751db085497d891143d303cc596df4 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/-jBxmj45BEFft8RKu_qGXw/FRywle1hDCS8QX48Nex8U6Q3O4g8oRGyVceEW-v2mRThK6p4zR0rQ4hhSsAo-mg3J34dgaiYKCDZx7aG6jG_4otjt5qaSKT7s-KhnwKmmAl0O3AO-OzWelVygspJjSNfOwW4icOKMJt34P5yFLadsqTvdqL0gUElr4eeKmMVjGPbq5qsFbr5L0IfSuYr6m7w/lEkUb3SYBjp9J9NHGa30pNtiNarth4mBPR_rzLmsGm4),Food,Cooked,The sweet and spicy meat stuffed into these rice balls will keep you full for some time.,"Hylian Rice,Raw Bird Thigh,Raw Bird Drumstick,Raw Gourmet Meat,Raw Meat,Raw Prime Meat,Raw Whole Bird",,
Monster Cake,40px-BotW_Monster_Cake_Icon.png?version=2c6f2af0e7df85bbf81677d7adc7dc31 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/gUH3mR5-xpHp4oD3Fj9oyQ/hDYKt2dDOthg65_pJtESIHOyiWdNuCPQmvv6bffXjV8j-5LWgF1aLd3IThFT-Xh0PgZg71ahbe8HjsNhiLHoJd53Nz9V3ApBMq6jSq-yzSGRwjiLuTskrUVsQPYGPBBq3eynYFzo5xs-jRnNjzZv7JEuXJuVa1KuS4TCf0jwPqE1Tg9W7lX0M__LjUMbs6Y2/ur59qJcwvcsivavWkm4qmPVyotRQ57E_z0HEL6KU2Hg),Food,Cooked,"It's said that once you have a taste of this cake, you'll never forget its sweetness.","Tabantha Wheat,Cane Sugar,Goat Butter,Monster Extract",,
Monster Curry,40px-BotW_Monster_Curry_Icon.png?version=b29beadbad874258365bcee4290018d1 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/TevtgrDXHTiy1UUaVK6iBQ/4hs2X6doi56k1x5dCQunD0fAdyrI4qDwkSAJN9jVPRyLZvd14N1q9_-Fvg8ReQHg-8-osKHnBUtD2IgTlq1U5YQzZgyEkPn7z4BVFi0iSh7Pwcliex3sjAhxzE_SZJMrfFcmS9l2q6bz6Ai8w93BNlFZLzlsGV8sCe0nozg_15KARPp1ChLOwC57Pv8i9xq5/jZBTYLRnImV0EiiaINaZFcWlB4g8oxYDoeOYPm2t9oo),Food,Cooked,This unusual take on curry uses monster extract and doesn't rely on spices.,"Hylian Rice,Goron Spice,Monster Extract",,
Monster Rice Balls,40px-BotW_Monster_Rice_Balls_Icon.png?version=e84a979ca9660e5fdd4b4f077d2f6ca3 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/aRpNqNHjznHSnx8ELwWbrg/KiM9F54KhlZIgMgreAM3KSQ1-ypRdPl2P0y02Rg15T_asbYrZFToKNktXWjblplmvWcxZGwxQs7aeDLug04wULBEr6dSxYrpTsjLbOsh11H9XfCJ7acDEloi3-9oU8jeG9zyl3HbfH-d49MZirSe4fbpsKkEKWeKFofGh7VNXX-T5wSBlEjJmxsm842PfqaS/igxF8LCr6JoR9E89yx2_1STRmTeSD38SSIvG_eOZR_c),Food,Cooked,Rice balls flavored with monster extract. Their unique aroma is not for everyone.,"Hylian Rice,Rock Salt,Monster Extract",,
Monster Soup,40px-BotW_Monster_Soup_Icon.png?version=39add28ad6f1dff156dac7b05f928601 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/cxFXsYjIjvwN4M76wMXHYw/tdpUBcZCHjDTQziJzMgFcv89Zb4rSAI98ASaupbnYeFLe6NisJDA42bSsxhYTpeai8e9BzI5GreNPzKdPo6YlOfjsw3xl2ozDNzB3-lB-jR_S3wZe7-0-1h7S1gsVWrT7VLFgEaV5p4cEU0iwDdyU5BciYQ1zgolCit2FAwWnDkAkiXSCFWJr0FtoNvSOvLt/woa6_MCLdaCuBs8rTi6k7hd3sTmrRskNwwyrgPpeKWY),Food,Cooked,"Using monster extract as a base, this soup's distinct gaminess is either loved or hated.","Goat Butter,Fresh Milk,Tabantha Wheat,Monster Extract",,
Monster Stew,40px-BotW_Monster_Stew_Icon.png?version=a980a0ddddc1a4f011fcd9f1c68f3944 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/pnXFItZrETVj-QqRGiq6-g/WNBswaSyuwoqF1Z1YwGvpG5uRwv3zyIMdJw2W2qXTYYC6wGU7R6OCPX3EPZDoUztxRNLcYb6pdOPnubug1aiFxU6G9fAlcnEvdfuHdNh4Gsf1biy8Q-M1YuJzWvbSqaoi3JBtxVRVDUIQz1nneoSvo24YZwftHkFhejvM2ZJyhnn5skkw2xsdRliNaxkhibv/9kVAvqFeZL7JI-6YIkLmLXwIQu5mubm0YAH0VErwsZY),Food,Cooked,Meat and seafood simmered in monster extract. A savory dish despite its ingredients.,"Monster Extract,Raw Bird Thigh,Raw Bird Drumstick,Raw Gourmet Meat,Raw Meat,Raw Prime Meat,Raw Whole Bird,Hearty Bass,Hyrule Bass,Staminoka Bass,Voltfin Trout,Chillfin Trout,Sizzlefin Trout,Stealthfin Trout,Sanke Carp,Mighty Carp,Armored Carp,Hearty Salmon,Mighty Porgy,Armored Porgy,Sneaky River Snail,Hearty Blueshell Snail,Ironshell Crab,Razorclaw Crab,Bright-Eyed Crab",,
Mushroom Omelet,40px-BotW_Mushroom_Omelet_Icon.png?version=a2bddcb11773970373e43c0a670df776 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/SyA_XLx84xJDIXqovzPsYQ/jzrl0wt36KzRh6aoErAJWaZjHSGqAeh8AUct9uSNxcBvewTdHi_H467_X8MTW3X9YF0u94Trns1OtT29QqchQ3f8ai_7UgqvMvaHasLIoqjkmyGEclclBhrvKXJWQ23xLnRit6loLxsV2bHrZfO2FvBof82bniMqtaAxfs_POMkdZnzPE_XV9jsMntN9Mqni/H4l_2f-ybBmDNLcOo1NAomYn2bUirwSplNaNtsMlAyw),Food,Cooked,"The fluffy texture of this omelet is one of the great joys of this dish, as well as life.","Rushroom,Sunshroom,Zapshroom,Ironshroom,Chillshroom,Razorshroom,Endura Shroom,Hylian Shroom,Silent Shroom,Stamella Shroom,Hearty Truffle,Big Hearty Truffle,Rock Salt,Goat Butter,Bird Egg",,
Mushroom Rice Balls,40px-BotW_Mushroom_Rice_Balls_Icon.png?version=2bd6e0c8392984c14ad58b65fb319ca6 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/4uFhP-6A8OJx2dZxwi1J2w/gTJajTVi_jaf-LnKx6wp7U92D_EtO0ETskLq80PptYyV-n2hSBlGw8xW9j9D3BBhsY4o3-V_ATl-YdRHl3l9X_sBV-fspGYfWOaIX4FX2bqwzRwYhUSEKo5DYJHI48eAnGtuX4Twyn_-03qW3ujEGBC-Jgtj0ptFKkVwn9hxk41t0sh-A1bI-_amkT51CMjC/yXn8S8BQh6FGG4bGQ3rD-VqZVCRWjjKGkrze7nXqECU),Food,Cooked,The aroma of the mushrooms tickles your nose as you peel back the leafy wrapping.,"Rushroom,Sunshroom,Zapshroom,Ironshroom,Chillshroom,Razorshroom,Endura Shroom,Hylian Shroom,Silent Shroom,Stamella Shroom,Hearty Truffle,Big Hearty Truffle,Hylian Rice",,
Mushroom Risotto,40px-BotW_Mushroom_Risotto_Icon.png?version=edf47c503605893520f4d8f2c0db475a (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/7ke6zZ8YnQCNil9yBk693w/7YI_SDVFhk_mqjhzMwD25TTcSoUPRGbRt21WJQd_Ne6bKYzwebvxxmDJfgZbyBjWAYFMOhAnyxl9x0uws2uApU9okiYM5S6xJZqqeZd2pr1r6327jcyAquN0pKamCBfRWq-MzggJv0gGKbUXZtPRkI71-ySZC4g9Kzt68WYiSMl9SVItPUgO-kGkPl8M4-7T/h98wgGF0J1Ij9pySBN6VE1rxtIQE_AQSfsAQa0Tp878),Food,Cooked,The tantalizing aroma of mushrooms and butter beckons you to the table.,"Rushroom,Sunshroom,Zapshroom,Ironshroom,Chillshroom,Razorshroom,Endura Shroom,Hylian Shroom,Silent Shroom,Stamella Shroom,Hearty Truffle,Big Hearty Truffle,Rock Salt,Goat Butter,Hylian Rice",,
Mushroom Skewer,40px-BotW_Mushroom_Skewer_Icon.png?version=42287da71f78590084229557a94cb228 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/3Nvf57z3s7IgZtchbb6b_w/k7XfBIox67bSwyLdOSzWw5iV3xJUaQXZF-aoD3OUpQ-Eva0EEu7JGVfFL5AGGu7HTTLXTvuBTbymzSlUZitse3V60mXeqKXq0zqCaAEMexIsEb-rhP4IDaNXaI0jCGaNNdtKdXMv6ELhBOxEkUiuO2m0x3nqCc36DVZKnrjurj2mOsuBC_iilOAYbAvWaNa0/1nLAv_HDGel4wivOPtQWLayv0BInQABRxqplkxV8tFo),Food,Cooked,This simple mushroom-packed skewer has its colorful presentation to thank for its appeal.,"Rushroom,Sunshroom,Zapshroom,Ironshroom,Chillshroom,Razorshroom,Endura Shroom,Hylian Shroom,Silent Shroom,Stamella Shroom,Hearty Truffle,Big Hearty Truffle",,
Copious Mushrooms Skewers,40px-BotW_Copious_Mushrooms_Skewers_Icon.png?version=e1cbfd83d9b031d298f15f7b59175541 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/JeVqyyet__5v59SxiBXoZA/sdaXoc9acvkw_iIxLGnIZ3ZDToTo_pq-WEK2ZbunTUoE_biA9kusvVYBicuBGQElOXfySI7aTeUpPNsLnnMdpXT0rUsPPsleY_KaWGRQiO_jWgHvvwADfIqNjE26_uoGGh4iK_STsVJAU_v8KDK4SSW2HToOZuOK8xxvhuvmMj_i18-MxG2xECVERcwDzs0K/JW2NA173n1qSn7fabnON0FRd26YmZTbBjVaBKrAkvQI),Food,Cooked,Fans of fungal cuisine can't resist this simple mushroom-skewer dish. Very filling.,"Rushroom,Sunshroom,Zapshroom,Ironshroom,Chillshroom,Razorshroom,Endura Shroom,Hylian Shroom,Silent Shroom,Stamella Shroom,Hearty Truffle,Big Hearty Truffle",,
Nutcake,40px-BotW_Nutcake_Icon.png?version=215f4359e1ae2ceab54193c8da574c20 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/rx7NWuDbCyabvoZbrmuTmQ/JfPKCWHTwYp0NKXUdbaIe8WWXLdvW6wVbzsgbHcbljXjcEA0feH14VKAmqJ7O6uT-DFPm9KGjj-Ta-zV4UEenj2i8iv4Q2ss7ndmiDI2owSZ9oZR1QlQ8AjoGXReD7eY1u7njURPL3nPjEG7mCQ6gr6lDm6qMKYHWmbzwM3m-Vk/35iNMPYg1iVS18GQuRlSZy7qEanaRuj9iixDwfKZ7Nw),Food,Cooked,"Forest nuts give this cake a pleasant texture and a simple, understated sweetness.","Tabantha Wheat,Cane Sugar,Goat Butter,Acorn,Chickaloo Tree Nut",,
Omelet,40px-BotW_Omelet_Icon.png?version=29eec093a7737fee5b71871b6686ed0a (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/26O6ZhNYyZPK8nnypLi0zA/cLOD2pKKHYdqePEI4pWdFiP4J6_qV5R5EzQpfW3ibPRnklVNGWBjtoimTIOT6E1-APXWMZYrGPNHd7sEjhnCPdoCs_JyIj0DSyYyRiuA071A8F21ETZZrBueBF9AR5qE5e8W846U5wTZNguV8FTWa8abhN8aTDNF-JpWg-efKxI/RxexafOnPLrtc1Z0s7rQuCau0Es6xVQdGm-oGD_HFLU),Food,Cooked,This simple dish is common all over Hyrule. Simply fry egg until it's nice and plump.,Bird Egg,,
Pepper Seafood,40px-BotW_Pepper_Seafood_Icon.png?version=738619a19b9ea75411093096164fe5c6 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/Bvz5X1fFZECFWliulko7qA/U1ZZo0SYDB-_t9KnVUarFXKO47aPdVZoNjGYlvAU6Jj6NjDMFN9nookeuvBRN12qns63iSjBQaQbjrw5XAH0-DFttobbriwN9M3cBtQuySwSxuRi6tGXfQiaGUBbS7nhKPQeSt-5rGTBqXCCR_7roerKtpfaeUAGCH6mx8not87f4WdXn4DwQO3b-dFqvIAN/5p7BBWakVRkmQhJM_s1efY0lCdjrEwxe0eEM8SZTyC8),Food,Cooked,The pepper seeds grilled with this seafood draw out its taste and pleasant aroma.,"Spicy Pepper,Any Seafood",,
Plain Crepe,40px-BotW_Plain_Crepe_Icon.png?version=0aec51f243c4bcda2907b5897ce04e65 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/Kfktw7YCzBnVrLi778Gqxw/ROQ5dx1DKC2nsxp_13sXTGRKjpfJUfW8Sr1Net-Py3uF9BjAE7XP1LKLUnQmihX_WKuFUsEikd22olg31kpUllC6NakIScvzmeR58ThQ6SXE_tbkgbC3DuaWIG93kEjEaKwktDFPwA7PNCx0b73T1ye4lSBouSWQcx-CFkD_MPQgnrGI5kNhPmHrI_wZ-4el/hUCf_GBkGE70zCk3KQUDFN4VWCOGLKQ6xrblRD4ydk4),Food,Cooked,The simplicity of this dish lets the flavor of its ingredients shine.,"Fresh Milk,Cane Sugar,Tabantha Wheat,Bird Egg,Goat Butter",,
Porgy Meunière,40px-BotW_Porgy_Meuni%C3%A8re_Icon.png?version=bb2c6b2ec809cca9142fc48e8d162b38 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/VRLSVhcaAUUZE48ZTxdJdg/UTs-2aWn16vwdeJxmA8FljCbuRiwbyBc6AjDN6ABAGPOH9BToVqKAL1fpvxclGK4lqYKi2dF8RCi_unH8hpJ0AcWYCAnalZp_giM8y6qjNOtuB_EmiJ4WF7guWKUjyg59BqEoztLkhOewzmivoLXLNx5TPGGFEXOs2YZcxphjxaCRBoJQj9NT1UFP5YLC1uF/jhhXqvhGBb-15NHAlzAk1PZGO_y85hxqhaikiJR27n0),Food,Cooked,"Popular among residents of coastal regions, this juicy porgy is a delish dish.","Goat Butter,Tabantha Wheat,Mighty Porgy,Armored Porgy",,
Poultry Curry,40px-BotW_Poultry_Curry_Icon.png?version=0b1f648b189661e4f3180dd9649cfbca (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/VSnLJHXCz0KenADCZQYNsQ/of98WGnrUFYujbXTMgk-D5EFasTUdPRPfPqslLthtjs7B8HGunYGDqY0v8lKRh7HxHq-N7xQKhvuYdYnxFRPWIKjlka7rsLSq7GMllTxUuWQmO4BfMQSmEgA6WVMvh7jWoPJ4d7_6OzjvhqAsAsDuz66eF0URLCxHitwgGU5AxHL0fknk8FivkT_VGAudSLy/usF1HE-7VPDzf0ghx2Ec5DnZ71prdZnisnmV01bW1gA),Food,Cooked,The savory meat pairs well with the aroma of spice in this common curry.,"Raw Bird Drumstick,Hylian Rice,Goron Spice",,
Poultry Pilaf,40px-BotW_Poultry_Pilaf_Icon.png?version=d86c1d55bee5ea78b3d56066f1302611 (https://v5.airtableusercontent.com/v3/u/41/41/1749067200000/-rbTf_rgUdnVkbymtTSPOA/gJr6lWmwj9CULNZx8RXF2UaSe0sk5laqMkyAMTylEUJ6sNmS4v7zfJevkAY9_28i2AAMBOz2vKPGKNzYySZ1BscUtN3PS0UgOxQlVJagHAN22XmIxFFuZgvHoES7eyFd0eEaMx8UphfCKd7nUYzuEuCC9ejw-6YJb-EBUUjanEOhtCwPexoKgrh78GWh96YB/7LLVzbBaPiMKfV8OkrO7YLXuMOeDDQ6Mhj4K8Om2Vag),Food,Cooked,Sautéed Hylian rice steamed in poultry broth. Cook on low heat until the rice is fluffy.,"Raw Bird Drumstick,Hylian Rice,Bird Egg,Goat Butter",,
